[0.038s] Invoking command in '/home/loq/roboracer_ws/build/roboracer_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/loq/drivingcar_ws/install/self_driving_car_pkg:/home/loq/bumperbot_ws/install/bumperbot_py_example:/home/loq/roboracer_ws/install/roboracer_py:/home/loq/ros2_action_ws/install/lifecycle_py:/home/loq/ros2_action_ws/install/action_py:/opt/ros/humble /usr/bin/cmake /home/loq/roboracer_ws/src/roboracer_description -DCMAKE_INSTALL_PREFIX=/home/loq/roboracer_ws/install/roboracer_description
[0.348s] -- Found ament_cmake: 1.3.11 (/opt/ros/humble/share/ament_cmake/cmake)
[0.349s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.349s] -- Found ament_lint_auto: 0.12.12 (/opt/ros/humble/share/ament_lint_auto/cmake)
[0.349s] -- Configuring done
[0.349s] -- Generating done
[0.349s] -- Build files have been written to: /home/loq/roboracer_ws/build/roboracer_description
[0.355s] Invoked command in '/home/loq/roboracer_ws/build/roboracer_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/loq/drivingcar_ws/install/self_driving_car_pkg:/home/loq/bumperbot_ws/install/bumperbot_py_example:/home/loq/roboracer_ws/install/roboracer_py:/home/loq/ros2_action_ws/install/lifecycle_py:/home/loq/ros2_action_ws/install/action_py:/opt/ros/humble /usr/bin/cmake /home/loq/roboracer_ws/src/roboracer_description -DCMAKE_INSTALL_PREFIX=/home/loq/roboracer_ws/install/roboracer_description
[0.356s] Invoking command in '/home/loq/roboracer_ws/build/roboracer_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/loq/drivingcar_ws/install/self_driving_car_pkg:/home/loq/bumperbot_ws/install/bumperbot_py_example:/home/loq/roboracer_ws/install/roboracer_py:/home/loq/ros2_action_ws/install/lifecycle_py:/home/loq/ros2_action_ws/install/action_py:/opt/ros/humble /usr/bin/cmake --build /home/loq/roboracer_ws/build/roboracer_description -- -j8 -l8
[0.405s] Invoked command in '/home/loq/roboracer_ws/build/roboracer_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/loq/drivingcar_ws/install/self_driving_car_pkg:/home/loq/bumperbot_ws/install/bumperbot_py_example:/home/loq/roboracer_ws/install/roboracer_py:/home/loq/ros2_action_ws/install/lifecycle_py:/home/loq/ros2_action_ws/install/action_py:/opt/ros/humble /usr/bin/cmake --build /home/loq/roboracer_ws/build/roboracer_description -- -j8 -l8
[0.423s] Invoking command in '/home/loq/roboracer_ws/build/roboracer_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/loq/drivingcar_ws/install/self_driving_car_pkg:/home/loq/bumperbot_ws/install/bumperbot_py_example:/home/loq/roboracer_ws/install/roboracer_py:/home/loq/ros2_action_ws/install/lifecycle_py:/home/loq/ros2_action_ws/install/action_py:/opt/ros/humble /usr/bin/cmake --install /home/loq/roboracer_ws/build/roboracer_description
[0.433s] -- Install configuration: ""
[0.433s] -- Execute custom install script
[0.434s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/meshes/chassis.stl
[0.434s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/meshes/hinge.stl
[0.434s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/meshes/hokuyo.stl
[0.435s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/meshes/laser_link.STL
[0.435s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/meshes/left_wheel.stl
[0.435s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/meshes/parking_1.dae
[0.435s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/meshes/right_wheel.stl
[0.436s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/meshes/world.obj
[0.460s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/MIT_Tunnel/model.config
[0.460s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/MIT_Tunnel/model.sdf
[0.460s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker0/marker0/marker0/model-1_5.sdf
[0.461s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker0/marker0/marker0/model.config
[0.461s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker0/marker0/model-1_5.sdf
[0.461s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker0/marker0/model.config
[0.462s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker0/materials/textures/Marker0.png
[0.462s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker0/meshes/Marker0.dae
[0.463s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker0/model-1_4.sdf
[0.463s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker0/model-1_5.sdf
[0.463s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker0/model.config
[0.463s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker0/model.sdf
[0.464s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker1/marker0/marker0/model-1_5.sdf
[0.464s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker1/marker0/marker0/model.config
[0.465s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker1/marker0/model-1_5.sdf
[0.465s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker1/marker0/model.config
[0.465s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker1/materials/textures/Marker1.png
[0.466s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker1/meshes/Marker1.dae
[0.466s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker1/model-1_4.sdf
[0.466s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker1/model-1_5.sdf
[0.466s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker1/model.config
[0.467s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker1/model.sdf
[0.467s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker10/marker0/marker0/model-1_5.sdf
[0.468s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker10/marker0/marker0/model.config
[0.468s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker10/marker0/model-1_5.sdf
[0.468s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker10/marker0/model.config
[0.469s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker10/materials/textures/Marker10.png
[0.469s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker10/meshes/Marker10.dae
[0.469s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker10/model-1_4.sdf
[0.469s] -- Up-to-date symlink: /home/loq/roboracer_ws/install/roboracer_description/share/roboracer_description/models/ar_tags/marker10/model-1_5.sdf
